,date,open,high,low,close,volume
0,20201230,77400,81300,77300,81000,29417421
1,20201229,78800,78900,77300,78300,30339449
2,20201228,79000,80100,78200,78700,40085044
3,20201224,74100,78800,74000,77800,32502870
4,20201223,72400,74000,72300,73900,19411326
5,20201222,72500,73200,72100,72300,16304910
6,20201221,73100,73400,72000,73000,20367355
7,20201218,73300,73700,73000,73000,17613029
8,20201217,73400,73700,72600,73300,24293214
9,20201216,74100,74500,73400,73800,17512081
10,20201215,73800,74100,73300,73800,20863671
11,20201214,73600,74500,73200,73800,21510415
12,20201211,73500,73800,73100,73400,18486672
13,20201210,72700,73800,72500,72900,39882928
14,20201209,72100,73900,72000,73900,24077996
15,20201208,72200,72900,71600,71700,25000338
16,20201207,72400,73500,71900,72900,28490496
17,20201204,70400,72100,70100,71500,28130533
18,20201203,70100,70500,69300,69700,23677989
19,20201202,68400,69900,68300,69500,29703942
20,20201201,67100,68300,67100,67800,22327173
21,20201130,68400,68600,66700,66700,43811016
22,20201127,68000,68400,67600,68200,14063434
23,20201126,66100,68000,66000,68000,19023323
24,20201125,67900,68300,66500,66600,32447065
25,20201124,67900,69500,67000,67700,32158235
26,20201123,64800,67800,64700,67500,27134398
27,20201120,63900,65200,63900,64700,15068682
28,20201119,64100,64800,63900,64600,16590290
29,20201118,65700,66200,64700,64800,22963790
30,20201117,67000,67000,65600,65700,30204089
31,20201116,64000,66700,63900,66300,36354334
32,20201113,61300,63200,61000,63200,31508829
33,20201112,61000,61400,60700,61000,19800573
34,20201111,60700,61400,60400,61300,25628510
35,20201110,60500,60500,59500,60200,19073552
36,20201109,60700,60900,60100,60200,15892961
37,20201106,60700,60800,59600,60100,16910230
38,20201105,59000,60300,58800,60300,20639475
39,20201104,58900,59000,57800,58500,21718561
40,20201103,57900,58900,57600,58800,14950919
41,20201102,56400,57500,56000,57400,20489076
42,20201030,58000,58000,56600,56600,26907844
43,20201029,58200,58500,57500,58100,22636966
44,20201028,59400,59400,58800,59000,14428882
45,20201027,60300,60300,59500,59800,17260416
46,20201026,60400,61100,60100,60400,13268226
47,20201023,60400,60400,59800,60200,9322232
48,20201022,60300,60500,59800,60100,14294095
49,20201021,61200,61500,60600,60900,15703443
50,20201020,60300,60900,60100,60900,19326115
51,20201019,59600,60200,59500,60000,14474985
52,20201016,60000,60400,59000,59500,16554190
53,20201015,60700,60800,59700,60000,17756232
54,20201014,61000,61100,60500,60900,16086716
55,20201013,61000,61400,60400,60900,19247631
56,20201012,60000,60400,59900,60400,16145837
57,20201008,60500,60700,59500,59700,24589924
58,20201007,58700,59900,58500,59900,14861838
59,20201006,59400,59900,58700,59000,14463826
60,20201005,57500,59200,57500,58700,20228289
61,20200929,58300,59000,58200,58200,15503563
62,20200928,58300,58800,57900,58200,12614080
63,20200925,57700,58200,57700,57900,11444683
64,20200924,57700,58600,57600,57800,17564020
65,20200923,58400,58800,57400,58600,20111398
66,20200922,59100,59700,57800,58200,20830381
67,20200921,59100,60000,59000,59200,15140387
68,20200918,59800,59900,59100,59300,18884571
69,20200917,60700,60800,59300,59500,25108356
70,20200916,61100,61300,60600,61000,17041444
71,20200915,60900,61000,60500,61000,17877075
72,20200914,60200,60800,59900,60400,20648281
73,20200911,59300,59400,58200,59000,16017098
74,20200910,59900,60000,59100,59200,29923293
75,20200909,58200,59300,57800,58400,30597399
76,20200908,57400,58700,57200,58700,31517520
77,20200907,56100,57300,55800,56500,18685880
78,20200904,55200,55800,55100,55600,22139109
79,20200903,55600,56700,55500,56400,28384920
80,20200902,54600,55100,54100,54400,16905723
81,20200901,54100,54800,54100,54200,19363117
82,20200831,56000,56100,54000,54000,32671367
83,20200828,56100,56300,55400,55400,14619888
84,20200827,56300,56300,55600,55600,16196568
85,20200826,56400,56500,55700,56400,17651593
86,20200825,56400,56800,56100,56400,14021705
87,20200824,55800,56600,55400,56100,15055896
88,20200821,56200,56900,55800,55900,21142288
89,20200820,57600,57600,55300,55400,30386029
90,20200819,59000,59200,57800,57800,16930719
91,20200818,58900,59900,58000,58400,25307825
92,20200814,58000,58400,57700,58000,15672548
93,20200813,59400,59600,58000,58700,22089460
94,20200812,58200,59000,57700,59000,18573934
95,20200811,58000,59500,57800,58200,24907912
96,20200810,57600,58300,57500,57800,17774291
97,20200807,57900,58400,57100,57500,18751717
98,20200806,57100,58400,57100,58000,21625874
99,20200805,57300,57500,56300,56900,17739706
100,20200804,57200,58100,57000,57300,19419694
101,20200803,57800,57900,56700,56800,21158940
102,20200731,59500,59600,57700,57900,21943345
103,20200730,59700,60100,59000,59000,19285354
104,20200729,60300,60400,58600,59000,36476611
105,20200728,57000,58800,56400,58600,48431566
106,20200727,54300,55700,54300,55600,21054421
107,20200724,54000,54400,53700,54200,10994535
108,20200723,54700,54700,53800,54100,16214932
109,20200722,55300,55500,54700,54700,12885057
110,20200721,55200,55400,54800,55300,18297260
111,20200720,54800,54800,54000,54200,10507530
112,20200717,54200,54700,54100,54400,10096174
113,20200716,54800,54800,53800,53800,16779127
114,20200715,54400,55000,54300,54700,24051450
115,20200714,53700,53800,53200,53800,14269484
116,20200713,53300,53800,53100,53400,12240188
117,20200710,53100,53200,52300,52700,13714746
118,20200709,53200,53600,52800,52800,17054850
119,20200708,53600,53900,52900,53000,19664652
120,20200707,55800,55900,53400,53400,30760032
121,20200706,54000,55000,53800,55000,19856623
122,20200703,53000,53600,52700,53600,11887868
123,20200702,52100,52900,52100,52900,14142583
124,20200701,53400,53600,52400,52600,16706143
125,20200630,53900,53900,52800,52800,21157172
126,20200629,52500,53200,52000,52400,17776925
127,20200626,52800,53900,52200,53300,21575360
128,20200625,52100,53000,51900,51900,18541624
129,20200624,51900,53900,51600,52900,24519552
130,20200623,52500,52800,51100,51400,18086152
131,20200622,52000,52600,51800,52000,13801350
132,20200619,52600,52900,51600,52900,18157985
133,20200618,52200,52300,51600,52300,15982926
134,20200617,52100,52900,51300,52200,26672595
135,20200616,51200,52100,50600,52100,21808375
136,20200615,51400,52000,49900,49900,28772921
137,20200612,52100,52800,51500,52300,26976019
138,20200611,54500,55100,53200,54300,33815123
139,20200610,55100,55900,54900,55400,16742493
140,20200609,55800,56500,54400,55500,23998831
141,20200608,56400,56500,54700,54900,25634965
142,20200605,54400,55900,54000,55500,22743629
143,20200604,55800,57000,54600,54600,40220334
144,20200603,51800,55000,51700,54500,49257814
145,20200602,51000,51500,50800,51400,14247933
146,20200601,50800,51200,50600,51200,16949183
147,20200529,50000,50700,49700,50700,27596961
148,20200528,51100,51200,49900,50400,31309318
149,20200527,48950,50000,48800,49900,19548479
150,20200526,48700,49450,48600,49250,15127490
151,20200525,48750,48900,48450,48850,14337913
152,20200522,49600,49800,48600,48750,19706284
153,20200521,50300,50400,49850,49950,14949266
154,20200520,50000,50200,49800,50000,14896899
155,20200519,50100,50500,49700,50300,25168295
156,20200518,47950,49100,47600,48800,20481981
157,20200515,48400,48450,47700,47850,18463118
158,20200514,47750,48100,47650,48000,19305974
159,20200513,47250,48550,47200,48550,20223277
160,20200512,48400,48500,47550,47900,23433590
161,20200511,48900,49250,48300,48400,16357743
162,20200508,49100,49350,48800,48800,15319700
163,20200507,49200,49300,48700,48800,13884411
164,20200506,49000,49200,48500,49200,18070225
165,20200504,48900,49100,48500,48500,26083749
166,20200429,49900,50500,49600,50000,15604533
167,20200428,49850,50100,49300,50100,16095399
168,20200427,49350,50000,49100,49850,14049471
169,20200424,49650,49750,49000,49350,15618347
170,20200423,50200,50300,49500,49850,18754442
171,20200422,48700,50000,48350,49850,18613864
172,20200421,49400,49700,48700,49250,27407543
173,20200420,51400,51400,50000,50100,21866354
174,20200417,50800,52000,50300,51400,32041675
175,20200416,49350,49350,48550,49000,23349760
176,20200414,48800,49200,48300,49000,14206216
