[005930] RL:dqn Net:dnn LR:0.001 DF:0.9 TU:[1,1]
[005930][Epoch 001/100] Epsilon:1.0000 #Expl.:618/618 #Buy:188 #Sell:185 #Hold:245 #Stocks:3 PV:13,073,654 Loss:0.040775 ET:1.0542
[005930][Epoch 002/100] Epsilon:0.9799 #Expl.:598/618 #Buy:176 #Sell:173 #Hold:269 #Stocks:3 PV:10,696,722 Loss:0.012505 ET:0.3714
[005930][Epoch 003/100] Epsilon:0.9600 #Expl.:598/618 #Buy:181 #Sell:179 #Hold:258 #Stocks:2 PV:13,177,313 Loss:0.025961 ET:0.3709
[005930][Epoch 004/100] Epsilon:0.9403 #Expl.:581/618 #Buy:187 #Sell:186 #Hold:245 #Stocks:1 PV:11,648,896 Loss:0.014243 ET:0.3755
[005930][Epoch 005/100] Epsilon:0.9208 #Expl.:557/618 #Buy:162 #Sell:160 #Hold:296 #Stocks:2 PV:11,548,522 Loss:0.019658 ET:0.3673
[005930][Epoch 006/100] Epsilon:0.9015 #Expl.:562/618 #Buy:163 #Sell:163 #Hold:292 #Stocks:0 PV:9,932,595 Loss:0.005995 ET:0.3701
[005930][Epoch 007/100] Epsilon:0.8825 #Expl.:537/618 #Buy:165 #Sell:165 #Hold:288 #Stocks:0 PV:10,409,593 Loss:0.010884 ET:0.3743
[005930][Epoch 008/100] Epsilon:0.8636 #Expl.:541/618 #Buy:174 #Sell:174 #Hold:270 #Stocks:0 PV:10,209,543 Loss:0.007735 ET:0.3791
[005930][Epoch 009/100] Epsilon:0.8449 #Expl.:524/618 #Buy:169 #Sell:166 #Hold:283 #Stocks:3 PV:11,164,675 Loss:0.007140 ET:0.3813
[005930][Epoch 010/100] Epsilon:0.8264 #Expl.:515/618 #Buy:165 #Sell:165 #Hold:288 #Stocks:0 PV:9,333,426 Loss:0.004513 ET:0.4199
[005930][Epoch 011/100] Epsilon:0.8082 #Expl.:491/618 #Buy:139 #Sell:139 #Hold:340 #Stocks:0 PV:11,379,183 Loss:0.008513 ET:0.3732
[005930][Epoch 012/100] Epsilon:0.7901 #Expl.:489/618 #Buy:170 #Sell:165 #Hold:283 #Stocks:5 PV:15,217,333 Loss:0.113241 ET:0.3794
[005930][Epoch 013/100] Epsilon:0.7723 #Expl.:494/618 #Buy:161 #Sell:155 #Hold:302 #Stocks:6 PV:16,137,402 Loss:0.078410 ET:0.3769
[005930][Epoch 014/100] Epsilon:0.7546 #Expl.:450/618 #Buy:143 #Sell:137 #Hold:338 #Stocks:6 PV:16,282,065 Loss:0.081125 ET:0.3810
[005930][Epoch 015/100] Epsilon:0.7372 #Expl.:436/618 #Buy:145 #Sell:141 #Hold:332 #Stocks:4 PV:18,022,083 Loss:0.113880 ET:0.3751
[005930][Epoch 016/100] Epsilon:0.7199 #Expl.:455/618 #Buy:163 #Sell:157 #Hold:298 #Stocks:6 PV:17,566,186 Loss:0.103494 ET:0.3804
[005930][Epoch 017/100] Epsilon:0.7029 #Expl.:425/618 #Buy:155 #Sell:150 #Hold:313 #Stocks:5 PV:14,682,858 Loss:0.071892 ET:0.3772
[005930][Epoch 018/100] Epsilon:0.6861 #Expl.:418/618 #Buy:142 #Sell:141 #Hold:335 #Stocks:1 PV:17,419,688 Loss:0.121692 ET:0.3786
[005930][Epoch 019/100] Epsilon:0.6694 #Expl.:401/618 #Buy:154 #Sell:147 #Hold:317 #Stocks:7 PV:20,018,778 Loss:0.175444 ET:0.3805
[005930][Epoch 020/100] Epsilon:0.6530 #Expl.:412/618 #Buy:136 #Sell:132 #Hold:350 #Stocks:4 PV:18,234,231 Loss:0.135946 ET:0.3777
[005930][Epoch 021/100] Epsilon:0.6368 #Expl.:413/618 #Buy:134 #Sell:128 #Hold:356 #Stocks:6 PV:16,014,789 Loss:0.145439 ET:0.3802
[005930][Epoch 022/100] Epsilon:0.6208 #Expl.:376/618 #Buy:140 #Sell:136 #Hold:342 #Stocks:4 PV:17,880,502 Loss:0.187347 ET:0.4621
[005930][Epoch 023/100] Epsilon:0.6049 #Expl.:365/618 #Buy:113 #Sell:108 #Hold:397 #Stocks:5 PV:18,253,074 Loss:0.213366 ET:0.3776
[005930][Epoch 024/100] Epsilon:0.5893 #Expl.:351/618 #Buy:127 #Sell:120 #Hold:371 #Stocks:7 PV:18,145,053 Loss:0.234005 ET:0.3853
[005930][Epoch 025/100] Epsilon:0.5739 #Expl.:336/618 #Buy:121 #Sell:114 #Hold:383 #Stocks:7 PV:18,557,728 Loss:0.268296 ET:0.3804
[005930][Epoch 026/100] Epsilon:0.5587 #Expl.:350/618 #Buy:133 #Sell:128 #Hold:357 #Stocks:5 PV:18,072,433 Loss:0.261459 ET:0.3805
[005930][Epoch 027/100] Epsilon:0.5437 #Expl.:308/618 #Buy:107 #Sell:100 #Hold:411 #Stocks:7 PV:17,878,731 Loss:0.261436 ET:0.3724
[005930][Epoch 028/100] Epsilon:0.5289 #Expl.:338/618 #Buy:124 #Sell:117 #Hold:377 #Stocks:7 PV:18,014,085 Loss:0.231638 ET:0.3753
[005930][Epoch 029/100] Epsilon:0.5143 #Expl.:306/618 #Buy:142 #Sell:136 #Hold:340 #Stocks:6 PV:17,575,102 Loss:0.222989 ET:0.3831
[005930][Epoch 030/100] Epsilon:0.4999 #Expl.:297/618 #Buy:214 #Sell:211 #Hold:193 #Stocks:3 PV:8,764,225 Loss:0.496868 ET:0.3761
[005930][Epoch 031/100] Epsilon:0.4858 #Expl.:291/618 #Buy:91 #Sell:91 #Hold:436 #Stocks:0 PV:9,523,330 Loss:0.480172 ET:0.3795
[005930][Epoch 032/100] Epsilon:0.4718 #Expl.:304/618 #Buy:191 #Sell:191 #Hold:236 #Stocks:0 PV:13,836,842 Loss:0.235392 ET:0.3862
[005930][Epoch 033/100] Epsilon:0.4580 #Expl.:256/618 #Buy:156 #Sell:153 #Hold:309 #Stocks:3 PV:16,424,203 Loss:0.210261 ET:0.3802
[005930][Epoch 034/100] Epsilon:0.4444 #Expl.:268/618 #Buy:123 #Sell:117 #Hold:378 #Stocks:6 PV:20,080,434 Loss:0.374485 ET:0.3779
